;Player
0;Fernando Pacheco Flores
1;Aleix Vidal Parreu
2;Rubén Duarte Sánchez
3;Rodrigo Ely
4;Martín Aguirregabiria Padilla
5;Mubarak Wakaso
6;Manuel Alejandro García Sánchez
7;Tomás Pina Isla
8;Lucas Pérez Martínez
9;José Luis Sanmartín Mato
10;Luis Jesús Rioja González
11;Antonio Sivera Salvá
12;Víctor Laguardia Cisneros
13;Pere Pons Riera
14;Oliver Jasen Burke
15;Joaquín Navarro Jiménez
16;Aritz Castro Pérez
17;Lisandro Magallán
18;Borja Sainz Eguskiza
19;Adrián Marín Gómez
20;John Olof Alberto Guidetti
21;Alberto Rodríguez Baró
22;Javier Muñoz Jiménez
23;Guillermo Alfonso Maripán Loayza
24;Jorge Franco Alviz
25;Daniel Alejandro Torres Rojas
26;Rafael Jesús Navarro Mazuecos
27;Ermedin Demirović
28;Jeando Pourrat Fuchs
29;Fernando García Puchades
30;Saúl García Cabrero
31;Olivier Verdon
